epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,10130.9,1.1428,0.80959,1.18457,0.90614,0.83712,0.89569,0.61487,0.906,0.66269,0.96001,0.006304,0.006304,0.006304
58,10280.9,1.13571,0.80427,1.17773,0.90932,0.83618,0.89612,0.61513,0.90429,0.65794,0.95834,0.006238,0.006238,0.006238
59,10430.8,1.12978,0.79322,1.17229,0.91134,0.83178,0.8952,0.61569,0.90114,0.66597,0.96132,0.006172,0.006172,0.006172
60,10580.8,1.14746,0.80911,1.18495,0.90772,0.83447,0.89565,0.61685,0.89844,0.66593,0.96096,0.006106,0.006106,0.006106
61,10730.6,1.13006,0.79348,1.17271,0.91953,0.82547,0.89544,0.61642,0.89961,0.66952,0.96323,0.00604,0.00604,0.00604
62,10870.4,1.12155,0.78087,1.16684,0.90497,0.83519,0.89417,0.61664,0.89826,0.66078,0.96264,0.005974,0.005974,0.005974
63,11009.8,1.12183,0.78446,1.1688,0.90924,0.83261,0.89318,0.6167,0.89494,0.65725,0.9606,0.005908,0.005908,0.005908
64,11149.5,1.1195,0.77938,1.1686,0.90698,0.83706,0.89476,0.61884,0.89144,0.65555,0.9585,0.005842,0.005842,0.005842
65,11288.9,1.11329,0.78265,1.16447,0.90977,0.83722,0.89564,0.61952,0.89208,0.65645,0.96005,0.005776,0.005776,0.005776
66,11428.6,1.11068,0.77916,1.16161,0.90619,0.84059,0.89474,0.61968,0.89041,0.65403,0.96031,0.00571,0.00571,0.00571
67,11568.2,1.11213,0.77425,1.16127,0.90862,0.8394,0.89409,0.61956,0.89035,0.6531,0.96268,0.005644,0.005644,0.005644
68,11707.7,1.09337,0.75988,1.154,0.90614,0.83949,0.89387,0.62096,0.88853,0.64757,0.96139,0.005578,0.005578,0.005578
69,11847.4,1.0955,0.75617,1.14899,0.90311,0.84161,0.89426,0.62134,0.88832,0.64472,0.96068,0.005512,0.005512,0.005512
70,11987,1.0963,0.75845,1.14913,0.90341,0.84165,0.89378,0.6221,0.89115,0.64206,0.96237,0.005446,0.005446,0.005446
71,12126.6,1.08263,0.74826,1.14496,0.90481,0.84245,0.89428,0.62204,0.8911,0.6342,0.96266,0.00538,0.00538,0.00538
72,12266.1,1.07614,0.73865,1.14247,0.91078,0.83961,0.89489,0.62364,0.89058,0.63134,0.96119,0.005314,0.005314,0.005314
73,12405.5,1.07538,0.74929,1.13898,0.90685,0.84293,0.89516,0.62364,0.89061,0.625,0.9618,0.005248,0.005248,0.005248
74,12545.4,1.06354,0.72402,1.13396,0.9061,0.84487,0.89576,0.62425,0.8916,0.62103,0.96246,0.005182,0.005182,0.005182
75,12684.9,1.06765,0.73344,1.1311,0.90821,0.84446,0.89667,0.6242,0.8914,0.61438,0.96149,0.005116,0.005116,0.005116
76,12824.2,1.06398,0.72642,1.13244,0.90755,0.84336,0.89687,0.6249,0.88968,0.61374,0.95857,0.00505,0.00505,0.00505
77,12964.7,1.06509,0.73133,1.1323,0.90842,0.84428,0.89675,0.62525,0.88898,0.60832,0.95881,0.004984,0.004984,0.004984
78,13104.2,1.0552,0.71846,1.12714,0.90877,0.84361,0.89714,0.6256,0.88813,0.60411,0.95922,0.004918,0.004918,0.004918
79,13244.2,1.05205,0.71831,1.13274,0.90681,0.84524,0.89653,0.62593,0.88785,0.60012,0.95924,0.004852,0.004852,0.004852
80,13383.9,1.05127,0.71753,1.12608,0.90786,0.84623,0.89718,0.62676,0.88761,0.59663,0.95957,0.004786,0.004786,0.004786
81,13523.7,1.04452,0.70673,1.11976,0.90823,0.84689,0.89723,0.62784,0.88753,0.59232,0.95983,0.00472,0.00472,0.00472
82,13663.7,1.03355,0.69833,1.11617,0.9107,0.84295,0.89693,0.62823,0.887,0.59055,0.95934,0.004654,0.004654,0.004654
83,13803.1,1.03424,0.70023,1.11748,0.91061,0.84148,0.89718,0.62867,0.88619,0.58716,0.96081,0.004588,0.004588,0.004588
84,13942.7,1.02719,0.70233,1.11485,0.91099,0.84144,0.89717,0.62863,0.88645,0.58252,0.96199,0.004522,0.004522,0.004522
85,14082.3,1.02652,0.70048,1.11192,0.91066,0.84403,0.89747,0.6292,0.88528,0.57914,0.96077,0.004456,0.004456,0.004456
86,14222,1.01915,0.69045,1.10662,0.91125,0.84373,0.89755,0.63001,0.88445,0.57677,0.96082,0.00439,0.00439,0.00439
87,14361.6,1.01684,0.68618,1.10343,0.91274,0.84241,0.89804,0.63023,0.88419,0.57421,0.96149,0.004324,0.004324,0.004324
88,14501.1,1.01041,0.68136,1.10348,0.91339,0.84245,0.89805,0.63107,0.8838,0.57129,0.96174,0.004258,0.004258,0.004258
89,14640.8,1.01065,0.67762,1.1055,0.91449,0.84227,0.89717,0.63098,0.88386,0.56716,0.96321,0.004192,0.004192,0.004192
90,14780.3,1.00207,0.67326,1.0991,0.91525,0.8409,0.89733,0.63166,0.8842,0.56497,0.96412,0.004126,0.004126,0.004126
91,14920,0.99592,0.66064,1.09209,0.91432,0.8404,0.89722,0.63201,0.88405,0.56311,0.96437,0.00406,0.00406,0.00406
92,15059.8,0.99825,0.66805,1.09396,0.90368,0.8513,0.89674,0.63238,0.88322,0.56113,0.96408,0.003994,0.003994,0.003994
93,15199.5,0.99643,0.65952,1.09694,0.90532,0.85006,0.89717,0.63356,0.88256,0.55858,0.96382,0.003928,0.003928,0.003928
94,15339.8,0.98123,0.65069,1.08634,0.9078,0.84924,0.89714,0.63378,0.88218,0.55698,0.96323,0.003862,0.003862,0.003862
95,15479.2,0.98243,0.66073,1.08725,0.90857,0.84935,0.89688,0.63474,0.88156,0.5556,0.9633,0.003796,0.003796,0.003796
96,15619,0.9842,0.65348,1.0907,0.90899,0.84947,0.89715,0.63559,0.88049,0.55368,0.96269,0.00373,0.00373,0.00373
97,15758.6,0.97495,0.6496,1.08603,0.91349,0.84454,0.89709,0.63521,0.88016,0.552,0.96291,0.003664,0.003664,0.003664
98,15898.1,0.97269,0.64614,1.08461,0.9155,0.84337,0.89717,0.63574,0.87956,0.55133,0.96069,0.003598,0.003598,0.003598
99,16037.9,0.96423,0.63338,1.07939,0.91777,0.8419,0.89728,0.63715,0.87878,0.55018,0.95887,0.003532,0.003532,0.003532
100,16177.4,0.96246,0.63597,1.07941,0.91759,0.84221,0.89756,0.63757,0.87804,0.54949,0.95865,0.003466,0.003466,0.003466
101,16317.1,0.95569,0.63567,1.07599,0.91777,0.84319,0.89764,0.63845,0.87715,0.54855,0.95848,0.0034,0.0034,0.0034
102,16456.7,0.95388,0.62005,1.06794,0.91842,0.84359,0.89765,0.63875,0.87683,0.54812,0.95786,0.003334,0.003334,0.003334
103,16596.4,0.9493,0.62385,1.06877,0.91905,0.84378,0.89781,0.63953,0.87622,0.54714,0.95688,0.003268,0.003268,0.003268
104,16735.9,0.94389,0.62747,1.07051,0.91576,0.84511,0.89779,0.63925,0.87527,0.54592,0.95554,0.003202,0.003202,0.003202
105,16875.7,0.94123,0.61746,1.0675,0.91356,0.8463,0.89748,0.64018,0.87475,0.54471,0.95553,0.003136,0.003136,0.003136
106,17016,0.93415,0.60638,1.06613,0.91262,0.84586,0.89751,0.64055,0.87415,0.5438,0.95498,0.00307,0.00307,0.00307
107,17160.4,0.93722,0.61409,1.06566,0.91476,0.84568,0.89796,0.64133,0.87275,0.54434,0.95315,0.003004,0.003004,0.003004
108,17300.2,0.92598,0.6059,1.05989,0.91669,0.84417,0.89804,0.64126,0.87084,0.54587,0.95064,0.002938,0.002938,0.002938
109,17440.2,0.91541,0.591,1.0534,0.91619,0.84482,0.89789,0.64211,0.87027,0.54564,0.94983,0.002872,0.002872,0.002872
110,17580.2,0.91773,0.59753,1.05494,0.9157,0.84547,0.8984,0.64207,0.86932,0.54561,0.94903,0.002806,0.002806,0.002806
111,17719.9,0.91625,0.58932,1.0505,0.91607,0.84409,0.8982,0.64289,0.86917,0.54395,0.94868,0.00274,0.00274,0.00274
112,17859.5,0.90225,0.58474,1.04795,0.91658,0.84436,0.89809,0.64354,0.86768,0.54472,0.94777,0.002674,0.002674,0.002674
113,17999.3,0.90411,0.5918,1.04736,0.9166,0.84417,0.8979,0.6438,0.86856,0.54295,0.94853,0.002608,0.002608,0.002608
114,18138.8,0.90539,0.58605,1.04873,0.92107,0.84366,0.89834,0.64461,0.86867,0.54188,0.94902,0.002542,0.002542,0.002542
115,18278.6,0.88998,0.56998,1.04039,0.91917,0.84519,0.89863,0.64537,0.86823,0.54109,0.95015,0.002476,0.002476,0.002476
116,18418.3,0.88843,0.57132,1.03816,0.92072,0.84609,0.89872,0.64573,0.86695,0.53968,0.94931,0.00241,0.00241,0.00241
117,18557.9,0.8837,0.56494,1.03562,0.9247,0.84172,0.89909,0.64634,0.86595,0.54043,0.94805,0.002344,0.002344,0.002344
118,18697.5,0.88591,0.56819,1.03737,0.92107,0.84568,0.9002,0.64632,0.86635,0.53889,0.94855,0.002278,0.002278,0.002278
119,18837.3,0.87344,0.56465,1.03063,0.92054,0.8459,0.89963,0.64727,0.86633,0.53754,0.94843,0.002212,0.002212,0.002212
120,18976.6,0.87392,0.55741,1.03024,0.92217,0.8462,0.90145,0.64807,0.86612,0.53711,0.94865,0.002146,0.002146,0.002146
121,19116.1,0.86725,0.55607,1.02964,0.9223,0.84718,0.90155,0.64815,0.86606,0.53606,0.94959,0.00208,0.00208,0.00208
122,19259.7,0.86098,0.54902,1.02557,0.92378,0.84695,0.90163,0.64865,0.86587,0.53617,0.94953,0.002014,0.002014,0.002014
123,19409.8,0.85379,0.54412,1.02273,0.92249,0.8475,0.90148,0.64914,0.86492,0.53609,0.94921,0.001948,0.001948,0.001948
124,19559.9,0.85,0.54982,1.02164,0.92151,0.84909,0.90166,0.64955,0.86461,0.53633,0.94952,0.001882,0.001882,0.001882
125,19709.5,0.85216,0.54131,1.02582,0.92084,0.8496,0.90138,0.65022,0.86387,0.53624,0.94911,0.001816,0.001816,0.001816
126,19859.6,0.83533,0.53256,1.01636,0.92239,0.84797,0.90124,0.65029,0.86426,0.53626,0.9494,0.00175,0.00175,0.00175
127,20009.6,0.83724,0.53242,1.01793,0.92141,0.84663,0.90088,0.65016,0.86404,0.53621,0.94918,0.001684,0.001684,0.001684
128,20159.5,0.82598,0.52901,1.01204,0.92312,0.84714,0.90183,0.65114,0.86322,0.5373,0.94772,0.001618,0.001618,0.001618
